company_id,year,gross_margin,net_margin,revenue_growth,cost_growth,label
ADMA,2023,0.34444939294773735,-0.10936235307786148,0.6758502076843198,0.22299878518441935,Distressed
ADMA,2024,0.5148339563000933,0.4635271330553823,0.6515461921267162,0.21509575920501472,At-Risk
ADMP,2021,-0.5044542404467389,-20.749134324573955,-0.20453419972073628,-0.005175176854626775,Distressed
ADMP,2022,-0.3009639455029964,-5.567249527867289,1.1533576615897279,-0.13020110310116764,Distressed
ADN,2021,0.31552291719422637,-2.598505950873639,4.509057831645275,1.8793949013163034,Distressed
ADN,2022,0.07701409056684952,-7.9958050984188445,0.17713345150671056,0.0970408967678671,Distressed
ADNT,2021,0.060380116959064326,0.08099415204678363,0.07971586424625099,0.09219689775245331,At-Risk
ADNT,2022,0.05714892712980667,-0.008497981729339282,0.03223684210526316,0.00804289544235925,At-Risk
ADNT,2023,0.06709970769730432,0.013316011692107827,0.09022023935981871,0.0721679125934445,At-Risk
ADNT,2024,0.06318082788671024,0.0012254901960784314,-0.04592400129912309,-0.043510324483775814,At-Risk
ADOM,2021,0.37270393627707255,-3.7458073156834297,4.509057831645275,1.8793949013163034,Healthy
ADOM,2022,0.3844825125132614,-9.724272030876737,1.2050734172555515,0.152777648371669,Healthy
ADOM,2023,0.3512510072993619,-4.430537998283531,-0.36446307025607705,-0.06930173880512969,At-Risk
ADOM,2024,0.26138359197031114,-4.731920366191459,-0.3467844838697621,-0.06568650317099556,Distressed
ADP,2022,0.4997908875459896,0.17873962771921956,0.09949084996068082,0.08683480583521677,Distressed
ADP,2023,0.5193591010537303,0.1894271660319117,0.09176096931198972,0.06378051374152231,Distressed
ADP,2024,0.5287044462729006,0.1953902075760574,0.06608853998956263,0.05559504768674842,Distressed
ADP,2025,0.5319903311625463,0.19842030261321245,0.07073521293991439,0.06267010858890541,At-Risk
ADPT,2021,0.6805771523350438,-1.3429676566630384,0.5688235652863328,0.4463035282783769,Distressed
ADPT,2022,0.6874986508947266,-1.0803149351350185,0.2006168040221842,0.0610608020698577,Distressed
ADPT,2023,0.55629096290728,-1.3228523103666987,-0.08111900187795454,-0.03531053661016773,Distressed
ADPT,2024,0.5972216789508095,-0.8912308543393106,0.050981935211069085,-0.10105624902522843,Distressed
ADRA,2023,0.03546407162373719,-0.030554352122424532,-0.18248849812011905,-0.1334986789921677,At-Risk
ADSK,2021,0.9046967624259006,0.11331509347925217,0.15725593667546175,0.1920278392913635,Distressed
ADSK,2022,0.9040959040959041,0.16443556443556442,0.14113087095303237,0.06581740976645435,Distressed
ADSK,2023,0.9070402037474986,0.16481717300345644,0.0983016983016983,0.087898406374502,Distressed
ADSK,2024,0.9057250040776382,0.18137334855651607,0.11533563762052028,0.0899519340810254,Distressed
ADT,2021,0.8161227851561952,-0.0810950424284446,-0.2092396176930515,-0.19405856375094854,Distressed
ADT,2022,0.8405300526894245,0.030275195440155694,0.0426345014886777,-0.12203363062930979,Distressed
ADT,2023,0.838446070601424,0.09951139351069373,0.06182700488189609,-0.0474406429837288,Distressed
ADT,2024,0.8270647466563886,0.10228815424320284,0.05278987556804212,0.062328019268462806,Distressed
ADTN,2021,0.38787823887574513,-0.01533736882864065,0.11153580383408028,0.11910859365616852,Healthy
ADTN,2022,0.31910337618572143,-0.0019862783949076384,0.8215430085754275,0.8710793070499772,At-Risk
ADTN,2023,0.2881620398572796,-0.23396745278913933,0.12048723789316027,0.23494953419740408,Distressed
ADTN,2024,0.3513135078897174,-0.49840796774752905,-0.1970063527978418,-0.21122426200132743,Distressed
ADUS,2021,0.31214379658044716,0.052199019316390184,0.13039652185283254,0.10870259403444274,At-Risk
