gross_margin,net_margin,revenue_growth,cost_growth,current_ratio,debt_to_equity,opex_ratio,ebit_margin,asset_turnover,negative_equity,size_bucket_large,size_bucket_micro,size_bucket_mid,size_bucket_small,profit_regime_breakeven,profit_regime_loss,profit_regime_profitable,leverage_tier_high,leverage_tier_low,leverage_tier_med,growth_stage_high_growth,growth_stage_shrinking,growth_stage_stable
0.3010193,0.040993687,0.13355196,0.11336871,2.8931992,2.0913649,0.21837781,0.08264149,1.4256401,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.22750293,-0.1501753,-0.060223322,0.12247398,1.7782656,3.1053388,0.29859757,-0.07109466,0.44960153,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.42510238,-0.049751732,0.2018701,0.10320393,1.8845474,2.3420303,0.45333135,-0.02822897,0.8991976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.5544365,0.25276315,-0.20301309,-0.08640479,0.8759247,0.5801217,0.21629997,0.33813655,0.52882856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.43695307,-0.20362657,0.11453098,0.16940184,2.409155,0.8319785,0.6643458,-0.22739272,0.81764174,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.24657992,0.12353894,0.04103688,0.03808361,10.579534,0.39308614,0.10055592,0.14602399,0.8884796,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.141889,-0.011984591,0.029047959,0.0147796,1.1082118,5.0965223,0.1210087,0.020880297,1.1742729,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.7823636,0.120705694,0.43828517,0.5425289,9.624564,0.16975579,0.8711253,-0.08876172,0.3438712,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.65478426,0.35672295,-0.17296153,-0.088765524,0.42798355,1.0153419,0.28342715,0.37135708,0.09352812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.7756872,-0.12464605,0.93806046,0.5393699,4.698291,0.17514539,0.90606284,-0.13037562,1.4383211,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
